# Title: F/A-18C Hornet
# Author: Topolo
# Revision: Flight Model Manager ver:1.7.4.63 Date: 1/19/2020 10:09:47 PM
#-----------------------------------------------------
# Comments
#-----------------------------------------------------
#F404-GE-402 10,900/18000 (-400 10700/16000)
#Modif: A-G Weapons release profile added April 18, 2004 JimG
#Modif Topolo: 12/02/2009
#Modif Revientor: Fuel load JP8 11/07/2010-
#Modif Uri-ba: CMDS changed 07/03/2015
#Manual Flap switch has AUTO (Flap Up Mode), HALF (takeoff/land mode below 250 knots), FULL (same)
#HALF: <250 LEF function as AOA, TEFs max 30 degrees based on airspeed. On ground, LEFs 12 TEFs 30 AILERON droop 30.
#FULL: <250 LEF function as AOA, TEFs max 45 degrees based on airspeed. On ground, LEFs 12 TEFs 43-45 AILERON droop 42.
#Tef (Flaps): None 0, Manual 1, Auto with gear 2
#Slats (LEF): None 0, Manual 1, Auto (AoA controlled) 2, Mach 3, Manual connected to TeF 4
#Impact of Slats on Flight behavior integrated in CL and CD curves => CDlefFactor set to 0.0
#data for JP-5 fuel (6.8lbs/gal @ 15degC/59F) : Total = 10,810lbs
#(Flighf Manual A1-F18AC-NFM-000 p 1-2-137)
#Modif Topolo: Flat limitor fix 2014/09/03
#Switch: 0 - No TGP, 1 - Internal TGP, 2 - External on AC, 3 - External on HP
#Topolo 2nd Dec 2015:
#Set back Thrust values to fit performance with OFM CL & CD
#Set Fuel Flow tables
#Set TEF tables
#Thrust & flow multiplier set to 1.00 (BMS 4.34)
#Dee-Jay: Ext tank load order configuration 11/04/2016
#
#-----------------------------------------------------
# SIMULATION INPUT PANEL
#-----------------------------------------------------
#
#-----------------------------------------------------
# INPUT MASS AND GEOMETRIC PROPERTIES
#-----------------------------------------------------
         +25824.000000  # Empty Weight (lbs) MAX takeoff 51,900
           +400.000000  # Reference Area
         +10810.000000  # Internal Fuel
#-----------------------------------------------------
# ANGLE OF ATTACK AND SIDESLIP LIMITS
#-----------------------------------------------------
            +55.000000  # AOA Max
            -15.000000  # AOA Min
            +15.000000  # Beta Max
            -15.000000  # Beta Min
             +7.500000  # Max G
           +190.000000  # Max Roll
           +250.000000  # Min Vcas
           +900.000000  # Max Vcas
           +420.000000  # Corner Vcas
            +12.000000  # Theta Max
             +3.000000  # Num Gear
#
#Gear    xPos [ft]          yPos [ft]         zPos [ft]         Extent [deg]
         +17.56         +0.00         +7.10         +101.00
         +35.89         -4.57         +7.10          +96.00
         +35.89         +4.57         +7.10          +96.00
#-----------------------------------------------------
# Physical data
#-----------------------------------------------------
            +33.005200  # CG Loc
            +56.000000  # Length
            +37.400000  # Span
             +3.000000  # Fus Radius
             +7.600000  # Tail Ht 7.6 15.4
#
# End of Airframe data
#
#
#     BASIC AERODYNAMIC COEFFICIENTS
#
# AERODATA OPTIONS MUST BE LISTED HERE
aeropt AdvancedTEF
aeropt LefIncludedinCL
#
#-----------------------------------------------------
#     MACH BREAKPOINTS
#-----------------------------------------------------
+23.000000  # Num MACH
#
  +0.000000  +0.200000  +0.300000  +0.400000  +0.500000  +0.600000  +0.700000  +0.800000  +0.850000  +0.900000
  +0.950000  +1.000000  +1.050000  +1.100000  +1.150000  +1.200000  +1.300000  +1.400000  +1.500000  +1.600000
  +1.700000  +1.800000  +2.500000
#-----------------------------------------------------
#     ALPHA BREAKPOINTS
#-----------------------------------------------------
+46.000000  # Num Alpha
#
 -20.000000 -15.000000 -10.000000  -5.000000  -4.000000  -3.000000  -2.000000  -1.000000  +0.000000  +1.000000
  +2.000000  +3.000000  +4.000000  +5.000000  +6.000000  +7.000000  +8.000000  +9.000000 +10.000000 +11.000000
 +12.000000 +13.000000 +14.000000 +15.000000 +16.000000 +17.000000 +18.000000 +19.000000 +20.000000 +21.000000
 +22.000000 +23.000000 +24.000000 +25.000000 +26.000000 +27.000000 +28.000000 +29.000000 +30.000000 +32.000000
 +34.000000 +36.000000 +38.000000 +60.000000 +70.000000 +90.000000
#-----------------------------------------------------
#     LIFT COEFFICIENT  CL
#-----------------------------------------------------
+1.000000   # Table Multiplier
#
# Mach: 0
  -0.990000  -0.715000  -0.440000  -0.165000  -0.110000  -0.055000  +0.000000  +0.055000  +0.110000  +0.165000
  +0.220000  +0.275000  +0.330000  +0.385000  +0.440000  +0.495000  +0.550000  +0.605000  +0.660000  +0.715000
  +0.770000  +0.825000  +0.880000  +0.935000  +0.990000  +1.045000  +1.100000  +1.155000  +1.210000  +1.265000
  +1.320000  +1.375000  +1.430000  +1.485000  +1.521700  +1.558300  +1.595000  +1.604200  +1.613300  +1.631700
  +1.650000  +1.648000  +1.642000  +1.312000  +0.863000  +0.001000
#
# Mach: 0.2
  -0.990000  -0.715000  -0.440000  -0.165000  -0.110000  -0.055000  +0.000000  +0.055000  +0.110000  +0.165000
  +0.220000  +0.275000  +0.330000  +0.385000  +0.440000  +0.495000  +0.550000  +0.605000  +0.660000  +0.715000
  +0.770000  +0.825000  +0.880000  +0.935000  +0.990000  +1.045000  +1.100000  +1.155000  +1.210000  +1.265000
  +1.320000  +1.375000  +1.430000  +1.485000  +1.521700  +1.558300  +1.595000  +1.604200  +1.613300  +1.631700
  +1.650000  +1.648000  +1.642000  +1.312000  +0.863000  +0.001000
#
# Mach: 0.3
  -0.990000  -0.715000  -0.440000  -0.165000  -0.110000  -0.055000  +0.000000  +0.055000  +0.110000  +0.165000
  +0.220000  +0.275000  +0.330000  +0.385000  +0.440000  +0.495000  +0.550000  +0.605000  +0.660000  +0.715000
  +0.770000  +0.825000  +0.880000  +0.935000  +0.990000  +1.045000  +1.100000  +1.155000  +1.210000  +1.265000
  +1.320000  +1.375000  +1.430000  +1.485000  +1.521700  +1.558300  +1.595000  +1.604200  +1.613300  +1.631700
  +1.650000  +1.648000  +1.642000  +1.312000  +0.863000  +0.001000
#
# Mach: 0.4
  -0.990000  -0.715000  -0.440000  -0.165000  -0.110000  -0.055000  +0.000000  +0.055000  +0.110000  +0.165000
