# Title: AIDC F-CK-1D Ching-Kuo
# Author: Topolo
# Revision: Flight Model Manager ver:1.7.4.63 Date: 1/19/2020 10:09:48 PM
#-----------------------------------------------------
# Comments
#-----------------------------------------------------
#2019/03/15: Created from F-CK-1C by Topolo
#
#-----------------------------------------------------
# SIMULATION INPUT PANEL
#-----------------------------------------------------
#
#-----------------------------------------------------
# INPUT MASS AND GEOMETRIC PROPERTIES
#-----------------------------------------------------
         +14840.000000  # Empty Weight (lbs)
           +260.000000  # Reference Area
          +4160.000000  # Internal Fuel
#-----------------------------------------------------
# ANGLE OF ATTACK AND SIDESLIP LIMITS
#-----------------------------------------------------
            +40.000000  # AOA Max
             -8.000000  # AOA Min
            +30.000000  # Beta Max
            -30.000000  # Beta Min
             +9.000000  # Max G
           +190.000000  # Max Roll
           +250.000000  # Min Vcas
           +850.000000  # Max Vcas
           +420.000000  # Corner Vcas
            +13.000000  # Theta Max
             +3.000000  # Num Gear
#
#Gear    xPos [ft]          yPos [ft]         zPos [ft]         Extent [deg]
         +16.50         +0.00         +5.00         +100.00
         +30.00         -3.88         +5.00          +90.00
         +30.00         +3.88         +5.00          +90.00
#-----------------------------------------------------
# Physical data
#-----------------------------------------------------
            +27.000000  # CG Loc
            +47.000000  # Length
            +32.000000  # Span
             +2.500000  # Fus Radius
             +4.500000  # Tail Ht
#
# End of Airframe data
#
#
#     BASIC AERODYNAMIC COEFFICIENTS
#
# AERODATA OPTIONS MUST BE LISTED HERE
aeropt AdvancedTEF
aeropt LefIncludedinCL
#
#-----------------------------------------------------
#     MACH BREAKPOINTS
#-----------------------------------------------------
+22.000000  # Num MACH
#
  +0.000000  +0.200000  +0.300000  +0.400000  +0.500000  +0.600000  +0.700000  +0.800000  +0.900000  +0.950000
  +1.000000  +1.050000  +1.100000  +1.200000  +1.300000  +1.400000  +1.500000  +1.600000  +1.700000  +1.800000
  +1.900000  +2.000000
#-----------------------------------------------------
#     ALPHA BREAKPOINTS
#-----------------------------------------------------
+44.000000  # Num Alpha
#
  -8.000000  -4.000000  +0.000000  +1.000000  +2.000000  +3.000000  +4.000000  +5.000000  +6.000000  +7.000000
  +8.000000  +9.000000 +10.000000 +11.000000 +12.000000 +13.000000 +14.000000 +14.500000 +15.000000 +15.500000
 +16.000000 +17.000000 +18.000000 +19.000000 +20.000000 +21.000000 +22.000000 +23.000000 +24.000000 +25.000000
 +26.000000 +27.000000 +28.000000 +29.000000 +30.000000 +31.000000 +32.000000 +33.000000 +34.000000 +35.000000
 +40.000000 +55.000000 +70.000000 +90.000000
#-----------------------------------------------------
#     LIFT COEFFICIENT  CL
#-----------------------------------------------------
+1.000000   # Table Multiplier
#
# Mach: 0
  -0.510000  -0.230000  +0.025000  +0.088000  +0.155000  +0.217000  +0.284000  +0.354000  +0.423000  +0.497000
  +0.571000  +0.645000  +0.718000  +0.789000  +0.861000  +0.930000  +0.999000  +1.031000  +1.062000  +1.093000
  +1.125000  +1.178000  +1.232000  +1.283000  +1.335000  +1.374000  +1.413000  +1.449000  +1.485000  +1.527000
  +1.568000  +1.620000  +1.671000  +1.720000  +1.769000  +1.801000  +1.833000  +1.848000  +1.863000  +1.879000
  +1.882000  +1.421000  +0.863000  +0.042000
#
# Mach: 0.2
  -0.510000  -0.230000  +0.025000  +0.088000  +0.155000  +0.217000  +0.284000  +0.354000  +0.423000  +0.497000
  +0.571000  +0.645000  +0.718000  +0.789000  +0.861000  +0.930000  +0.999000  +1.031000  +1.062000  +1.093000
  +1.125000  +1.178000  +1.232000  +1.283000  +1.335000  +1.374000  +1.413000  +1.449000  +1.485000  +1.527000
  +1.568000  +1.620000  +1.671000  +1.720000  +1.769000  +1.801000  +1.833000  +1.848000  +1.863000  +1.879000
  +1.882000  +1.421000  +0.863000  +0.042000
#
# Mach: 0.3
  -0.530000  -0.250000  +0.075000  +0.123000  +0.241000  +0.294000  +0.342000  +0.390000  +0.438000  +0.497000
  +0.556000  +0.627000  +0.699000  +0.768000  +0.837000  +0.898000  +0.959000  +0.988000  +1.018000  +1.048000
  +1.077000  +1.131000  +1.185000  +1.263000  +1.341000  +1.425000  +1.509000  +1.586000  +1.663000  +1.715000
  +1.768000  +1.812000  +1.856000  +1.897000  +1.939000  +1.959000  +1.980000  +1.987000  +1.995000  +2.002000
  +1.959000  +1.426000  +0.863000  +0.042000
#
# Mach: 0.4
  -0.550000  -0.270000  +0.075000  +0.123000  +0.171000  +0.219000  +0.273000  +0.338000  +0.404000  +0.476000
  +0.549000  +0.620000  +0.691000  +0.764000  +0.837000  +0.898000  +0.958000  +0.996000  +1.033000  +1.071000
  +1.108000  +1.177000  +1.246000  +1.298000  +1.351000  +1.421000  +1.492000  +1.551000  +1.611000  +1.657000
  +1.704000  +1.746000  +1.788000  +1.819000  +1.849000  +1.883000  +1.916000  +1.937000  +1.958000  +1.979000
  +1.922000  +1.423000  +0.863000  +0.042000
#
# Mach: 0.5
  -0.570000  -0.285000  +0.038000  +0.098000  +0.157000  +0.219000  +0.278000  +0.351000  +0.423000  +0.500000
  +0.578000  +0.646000  +0.715000  +0.781000  +0.847000  +0.913000  +0.978000  +1.020000  +1.062000  +1.104000
  +1.146000  +1.225000  +1.303000  +1.352000  +1.400000  +1.452000  +1.503000  +1.549000  +1.595000  +1.637000
  +1.678000  +1.712000  +1.746000  +1.771000  +1.795000  +1.814000  +1.832000  +1.849000  +1.866000  +1.883000
  +1.855000  +1.419000  +0.863000  +0.042000
#
# Mach: 0.6
  -0.585000  -0.295000  +0.000000  +0.108000  +0.164000  +0.225000  +0.295000  +0.365000  +0.436000  +0.506000
  +0.577000  +0.643000  +0.710000  +0.778000  +0.845000  +0.908000  +0.970000  +1.022000  +1.075000  +1.128000
  +1.180000  +1.246000  +1.312000  +1.360000  +1.407000  +1.455000  +1.503000  +1.540000  +1.577000  +1.618000
  +1.659000  +1.686000  +1.713000  +1.735000  +1.758000  +1.778000  +1.799000  +1.812000  +1.825000  +1.837000
  +1.823000  +1.417000  +0.863000  +0.042000
#
# Mach: 0.7
  -0.618000  -0.308000  +0.000000  +0.096000  +0.156000  +0.222000  +0.306000  +0.380000  +0.453000  +0.525000
  +0.597000  +0.668000  +0.740000  +0.805000  +0.871000  +0.942000  +1.012000  +1.057000  +1.101000  +1.145000
