# Title: MiG-17PF Fresco-D
# Author: BMS
# Revision: Flight Model Manager ver:1.7.4.63 Date: 1/19/2020 10:09:47 PM
#-----------------------------------------------------
# Comments
#-----------------------------------------------------
#Modif Mav-Jp: Store limiter to be used in associated WCD
#Modif Falcas: ThetaMax / GearPos / Flaps / HasOldLandingLight
#Modif Falcas: 01/11/2011
#Modification by Topolo 19th May 2008
#Modif Topolo: Flat limitor fix 2014/09/03
#Modif Uri-ba: CMDS changed 28/02/2015
#Switch: 0 - No TGP, 1 - Internal TGP, 2 - External on AC, 3 - External on HP
#
#-----------------------------------------------------
# SIMULATION INPUT PANEL
#-----------------------------------------------------
#
#-----------------------------------------------------
# INPUT MASS AND GEOMETRIC PROPERTIES
#-----------------------------------------------------
         +8664.000000  # Empty Weight (lbs)
          +243.000000  # Reference Area
         +3968.000000  # Internal Fuel
#-----------------------------------------------------
# ANGLE OF ATTACK AND SIDESLIP LIMITS
#-----------------------------------------------------
           +22.000000  # AOA Max
           -10.000000  # AOA Min
           +15.000000  # Beta Max
           -15.000000  # Beta Min
            +8.000000  # Max G
          +190.000000  # Max Roll
          +250.000000  # Min Vcas
          +900.000000  # Max Vcas
          +350.000000  # Corner Vcas
            +9.000000  # Theta Max
            +3.000000  # Num Gear
#
#Gear    xPos [ft]          yPos [ft]         zPos [ft]         Extent [deg]
         +4.00         +0.00         +4.90         +100.00
        +14.20         -5.10         +4.90         +100.00
        +14.20         +5.10         +4.90         +100.00
#-----------------------------------------------------
# Physical data
#-----------------------------------------------------
           +14.000000  # CG Loc
           +29.000000  # Length
           +31.000000  # Span
            +2.000000  # Fus Radius
            +9.500000  # Tail Ht
#
# End of Airframe data
#
#
#     BASIC AERODYNAMIC COEFFICIENTS
#
#
#-----------------------------------------------------
#     MACH BREAKPOINTS
#-----------------------------------------------------
+8.000000  # Num MACH
#
  +0.000000  +0.600000  +0.700000  +0.850000  +0.900000  +1.000000  +1.200000  +2.500000
#-----------------------------------------------------
#     ALPHA BREAKPOINTS
#-----------------------------------------------------
+12.000000  # Num Alpha
#
 -20.000000 -10.000000  -5.000000  +0.000000  +5.000000 +10.000000 +15.000000 +20.000000 +25.000000 +30.000000
 +35.000000 +40.000000
#-----------------------------------------------------
#     LIFT COEFFICIENT  CL
#-----------------------------------------------------
+1.000000   # Table Multiplier
#
# Mach: 0
  -0.684000  -0.480000  -0.240000  +0.000000  +0.240000  +0.480000  +0.720000  +0.912000  +1.065600  +1.188500
  +1.286800  +1.365400
#
# Mach: 0.6
  -0.684000  -0.480000  -0.240000  +0.000000  +0.240000  +0.480000  +0.720000  +0.912000  +1.065600  +1.188500
  +1.286800  +1.365400
#
# Mach: 0.7
  -0.684000  -0.480000  -0.240000  +0.000000  +0.240000  +0.480000  +0.720000  +0.912000  +1.065600  +1.188500
  +1.286800  +1.365400
#
# Mach: 0.85
  -0.684000  -0.480000  -0.240000  +0.000000  +0.240000  +0.480000  +0.720000  +0.912000  +1.065600  +1.188500
  +1.286800  +1.365400
#
# Mach: 0.9
  -0.615600  -0.432000  -0.216000  +0.000000  +0.216000  +0.432000  +0.648000  +0.820800  +0.959000  +1.069600
  +1.158100  +1.228900
#
# Mach: 1
  -0.547200  -0.384000  -0.192000  +0.000000  +0.192000  +0.384000  +0.576000  +0.729600  +0.852500  +0.950800
  +1.029400  +1.092300
#
# Mach: 1.2
  -0.478800  -0.336000  -0.168000  +0.000000  +0.168000  +0.336000  +0.504000  +0.638400  +0.745900  +0.831900
  +0.900700  +0.955800
#
# Mach: 2.5
  -0.342000  -0.240000  -0.120000  +0.000000  +0.120000  +0.240000  +0.360000  +0.456000  +0.532800  +0.594200
  +0.643400  +0.682700
#
#-----------------------------------------------------
#     DRAG COEFFICIENT  CD
#-----------------------------------------------------
+0.666660   # Table Multiplier
#
# Mach: 0
  +0.237100  +0.187200  +0.074800  +0.025000  +0.030100  +0.088900  +0.178400  +0.280600  +0.382900  +0.485100
  +0.587400  +0.689600
#
# Mach: 0.6
  +0.221400  +0.181500  +0.087400  +0.025000  +0.030100  +0.088900  +0.178400  +0.280600  +0.408400  +0.568200
  +0.767900  +1.017500
#
# Mach: 0.7
  +0.202100  +0.162300  +0.068100  +0.025300  +0.030600  +0.092600  +0.186900  +0.294600  +0.429300  +0.597700
  +0.808200  +1.071300
#
# Mach: 0.85
  +0.202700  +0.162800  +0.068700  +0.026300  +0.032700  +0.107400  +0.221000  +0.350800  +0.513000  +0.715900
  +0.969400  +1.286300
#
# Mach: 0.9
  +0.217200  +0.171300  +0.083300  +0.040000  +0.049500  +0.159100  +0.325800  +0.516300  +0.754500  +1.052200
  +1.424300  +1.889500
#
# Mach: 1
  +0.252200  +0.206200  +0.118300  +0.055000  +0.068100  +0.218700  +0.448000  +0.710000  +1.037400  +1.446800
  +1.958500  +2.598100
#
# Mach: 1.2
  +0.272500  +0.171100  +0.102400  +0.055000  +0.068100  +0.218700  +0.448000  +0.710000  +1.037400  +1.446800
  +1.958500  +2.598100
#
# Mach: 2.5
  +0.263400  +0.160400  +0.093900  +0.055000  +0.068100  +0.218700  +0.448000  +0.710000  +1.037400  +1.446800
  +1.958500  +2.598100
#
#-----------------------------------------------------
#     SIDE FORCE DERIVATIVE CY-BETA
#-----------------------------------------------------
+1.000000   # Table Multiplier
#
# Mach: 0
  -0.011000  -0.010900  -0.016600  -0.018200  -0.019200  -0.018700  -0.016300  -0.017600  -0.016400  -0.015800
  -0.014100  -0.009000
#
# Mach: 0.6
  -0.016000  -0.012200  -0.021000  -0.028000  -0.028600  -0.030000  -0.025000  -0.026700  -0.022300  -0.021500
  -0.018700  -0.017200
#
# Mach: 0.7
  -0.016000  -0.012200  -0.021000  -0.028000  -0.028600  -0.030000  -0.025000  -0.026700  -0.022300  -0.021500
  -0.018700  -0.017200
#
# Mach: 0.85
  -0.016000  -0.012200  -0.021000  -0.028000  -0.028600  -0.030000  -0.025000  -0.026700  -0.022300  -0.021500
  -0.018700  -0.017200
#
# Mach: 0.9
  -0.016000  -0.012200  -0.021000  -0.028000  -0.028600  -0.030000  -0.025000  -0.026700  -0.022300  -0.021500
  -0.018700  -0.017200
#
# Mach: 1
  -0.017000  -0.017200  -0.027000  -0.033000  -0.035000  -0.033300  -0.032100  -0.028800  -0.025400  -0.023100
  -0.020700  -0.018800
#
# Mach: 1.2
  -0.017200  -0.017300  -0.027200  -0.033500  -0.035500  -0.033800  -0.032600  -0.029200  -0.026000  -0.024000
  -0.021000  -0.020000
#
# Mach: 2.5
  -0.016100  -0.016200  -0.019400  -0.019400  -0.021500  -0.021600  -0.021400  -0.021500  -0.020500  -0.017900
  -0.015300  -0.010500
#
# End of Aero Data
#
#-----------------------------------------------------
# PROPULSION DATA
#-----------------------------------------------------
#
      +1.000000   # Thrust multiplier
      +0.600000   # Fuel Flow Multiplier
#-----------------------------------------------------
# MACH BREAKPOINTS
#-----------------------------------------------------
+12.000000  # Number of Mach Breaks
#
  +0.000000  +0.200000  +0.400000  +0.600000  +0.800000  +1.000000  +1.200000  +1.400000  +1.600000  +1.800000
  +2.000000  +2.500000
#-----------------------------------------------------
#     ALTITUDE BREAKPOINTS
#-----------------------------------------------------
+8.000000  # Number of Alt Break Points
#
  +0.000000 +10000.000000 +20000.000000 +30000.000000 +40000.000000 +50000.000000 +60000.000000 +70000.000000
#
#-----------------------------------------------------
#    THRST1 - THRUST AT IDLE (THROTL = 0.00)
#-----------------------------------------------------
# Alt: 0
     +0.000000   -696.000000  -1479.000000  -1914.000000  -2871.000000  -3480.000000  -4263.000000  -5133.000000  -5829.000000  -6699.000000
  -7482.000000  -9396.000000
#
# Alt: 10000
     +0.000000   -348.000000   -957.000000  -1436.000000  -1958.000000  -2436.000000  -3002.000000  -3524.000000  -4002.000000  -4437.000000
