# Title: Su-30MKK Flanker-G
# Author: BMS
# Revision: Flight Model Manager ver:1.7.4.63 Date: 1/19/2020 10:09:48 PM
#-----------------------------------------------------
# Comments
#-----------------------------------------------------
#Modif Mav-Jp: Store limiter to be used in associated WCD
#Modif Falcas: ThetaMax / GearPos / HasOldLandingLight
#Modif Falcas: 01/11/2011
#Modif Dee-Jay: Chaff & Flares modified 04/03/2012
#Modified Topolo: Su-27 with AL-31F 14/04/2014
#Modif Topolo: Flat limitor fix 2014/09/03
#Modif Switch: November 7th, 2015 - OPFOR RACKS
#
#-----------------------------------------------------
# SIMULATION INPUT PANEL
#-----------------------------------------------------
#
#-----------------------------------------------------
# INPUT MASS AND GEOMETRIC PROPERTIES
#-----------------------------------------------------
         +39022.000000  # Empty Weight (lbs)
           +667.000000  # Reference Area
         +20718.000000  # Internal Fuel
#-----------------------------------------------------
# ANGLE OF ATTACK AND SIDESLIP LIMITS
#-----------------------------------------------------
            +30.000000  # AOA Max
            -10.000000  # AOA Min
            +20.000000  # Beta Max
            -20.000000  # Beta Min
             +9.000000  # Max G
           +190.000000  # Max Roll
           +250.000000  # Min Vcas
          +1200.000000  # Max Vcas
           +420.000000  # Corner Vcas
            +10.000000  # Theta Max
             +3.000000  # Num Gear
#
#Gear    xPos [ft]          yPos [ft]         zPos [ft]         Extent [deg]
         +28.90         +0.00         +7.90         +100.00
         +44.00         -6.20         +7.85         +100.00
         +44.00         +6.20         +7.85         +100.00
#-----------------------------------------------------
# Physical data
#-----------------------------------------------------
            +43.000000  # CG Loc
            +67.600000  # Length
            +48.000000  # Span
             +3.000000  # Fus Radius
             +9.500000  # Tail Ht
#
# End of Airframe data
#
#
#     BASIC AERODYNAMIC COEFFICIENTS
#
# AERODATA OPTIONS MUST BE LISTED HERE
aeropt AdvancedTEF
aeropt LefIncludedinCL
#
#-----------------------------------------------------
#     MACH BREAKPOINTS
#-----------------------------------------------------
+23.000000  # Num MACH
#
  +0.000000  +0.200000  +0.300000  +0.400000  +0.500000  +0.600000  +0.700000  +0.800000  +0.850000  +0.900000
  +1.000000  +1.050000  +1.100000  +1.200000  +1.300000  +1.400000  +1.500000  +1.600000  +1.700000  +1.800000
  +1.900000  +2.000000  +2.500000
#-----------------------------------------------------
#     ALPHA BREAKPOINTS
#-----------------------------------------------------
+44.000000  # Num Alpha
#
  -8.000000  -7.000000  -6.000000  -5.000000  -4.000000  -3.000000  -2.000000  -1.000000  +0.000000  +1.000000
  +2.000000  +3.000000  +4.000000  +5.000000  +6.000000  +7.000000  +8.000000  +9.000000 +10.000000 +11.000000
 +12.000000 +13.000000 +14.000000 +15.000000 +16.000000 +17.000000 +18.000000 +19.000000 +20.000000 +21.000000
 +22.000000 +23.000000 +24.000000 +25.000000 +26.000000 +27.000000 +28.000000 +29.000000 +30.000000 +32.000000
 +34.000000 +36.000000 +38.000000 +40.000000
#-----------------------------------------------------
#     LIFT COEFFICIENT  CL
#-----------------------------------------------------
+1.000000   # Table Multiplier
#
# Mach: 0
  -0.699800  -0.612400  -0.524900  -0.437400  -0.349900  -0.262400  -0.175000  -0.087500  +0.000000  +0.087500
  +0.175000  +0.262400  +0.349900  +0.437400  +0.524900  +0.612400  +0.699800  +0.787300  +0.874800  +0.962300
  +1.049800  +1.137200  +1.224700  +1.312200  +1.399700  +1.487200  +1.574600  +1.662100  +1.749600  +1.837100
  +1.924600  +2.012000  +2.099500  +2.187000  +2.255000  +2.323100  +2.381400  +2.405700  +2.430000  +2.430000
  +2.430000  +2.430000  +2.430000  +2.430000
#
# Mach: 0.2
  -0.699800  -0.612400  -0.524900  -0.437400  -0.349900  -0.262400  -0.175000  -0.087500  +0.000000  +0.087500
  +0.175000  +0.262400  +0.349900  +0.437400  +0.524900  +0.612400  +0.699800  +0.787300  +0.874800  +0.962300
