7
2 0 3    # AN-2
0 0 0    # KC-10
0 0 1   # AH-64D
1 0 0   # MIG19
1 0 1   # MIG29
1 0 2   # SU27
2 0 4   # TU16
15
# NOTE all positions are ownship relative
5   3000.0     -50.0  -10000.0 3  # flight x y z numWaypoints
    3000.0     -50.0  -10000.0    0.0    0.0
   18000.0     -50.0  -10000.0   25.0    0.0
   26000.0   10464.0  -10000.0   50.0    0.0
5   3000.0    -550.0  -10000.0 3
    3000.0    -550.0  -10000.0    0.0    0.0
   18000.0    -550.0  -10000.0   25.0    0.0
   26000.0   10464.0  -10000.0   50.0    0.0
4   2900.0     650.0  -10100.0 3
    2900.0     650.0  -10100.0    0.0    0.0
   18000.0     650.0  -10100.0   25.0    0.0
   26000.0  -10000.0  -10100.0   50.0    0.0
4   2900.0     150.0  -10100.0 3
    2900.0     150.0  -10100.0    0.0    0.0
   18000.0     150.0  -10100.0   25.0    0.0
   26000.0  -10000.0  -10100.0   50.0    0.0
5   3000.0  -18050.0  -25000.0 4  # flight x y z numWaypoints
    3000.0  -18050.0  -25000.0    0.0    0.0
   18000.0  -18050.0  -25000.0   25.0    0.0
   18000.0  -10464.0  -25000.0   40.0    0.0 
       0.0       0.0   -5000.0   80.0 1000.0
5   3000.0  -18550.0  -25000.0 4
    3000.0  -18550.0  -25000.0    0.0    0.0
   18000.0  -18550.0  -25000.0   25.0    0.0
   18000.0  -10464.0  -25000.0   40.0    0.0
       0.0       0.0  -25000.0   80.0 1000.0
3   3000.0   18050.0   -5000.0 4  # flight x y z numWaypoints
    3000.0   18050.0   -5000.0    0.0    0.0
   18000.0   18050.0   -5000.0   25.0    0.0
   18000.0   10464.0   -5000.0   40.0    0.0
       0.0       0.0   -5000.0   80.0 1000.0
3   3000.0   18550.0   -5000.0 4
    3000.0   18550.0   -5000.0    0.0    0.0
   18000.0   18550.0   -5000.0   25.0    0.0
   18000.0   10464.0   -5000.0   40.0    0.0
       0.0       0.0   -5000.0   80.0 1000.0
4  13000.0       0.0  -15000.0 4  # flight x y z numWaypoints
   13000.0       0.0  -15000.0    0.0    0.0
    5000.0       0.0  -15000.0   20.0    0.0
  -18000.0       0.0  -15000.0   60.0    0.0
       0.0       0.0  -15000.0   92.0 1000.0
4  13000.0     100.0  -15000.0 4
   13000.0     100.0  -15000.0    0.0    0.0
    5000.0     100.0  -15000.0   20.0    0.0
  -18000.0     100.0  -15000.0   60.0    0.0
       0.0     100.0  -15000.0   92.0 1000.0
5 -23000.0    8000.0  -33000.0 4  # flight x y z numWaypoints
  -23000.0    8000.0  -33000.0    0.0    0.0
   -1000.0    8000.0  -33000.0   30.0    0.0
   18000.0    8000.0  -33000.0   60.0    0.0
       0.0       0.0  -33000.0   90.0 1000.0
5 -23000.0    8100.0  -33000.0 4  # flight x y z numWaypoints
  -23000.0    8100.0  -33000.0    0.0    0.0
   -1000.0    8100.0  -33000.0   30.0    0.0
   18000.0    8100.0  -33000.0   60.0    0.0
       0.0     100.0  -33000.0   90.0 1000.0
3 -23000.0   -8000.0   -3000.0 4  # flight x y z numWaypoints
  -23000.0   -8000.0   -3000.0    0.0    0.0
   -1000.0   -8000.0   -3000.0   30.0    0.0
   18000.0   -8000.0   -3000.0   60.0    0.0
       0.0    8000.0   -3000.0   90.0 1000.0
3 -23000.0   -8100.0   -3000.0 4  # flight x y z numWaypoints
  -23000.0   -8100.0   -3000.0    0.0    0.0
   -1000.0   -8100.0   -3000.0   30.0    0.0
   18000.0   -8100.0   -3000.0   60.0    0.0
       0.0   -8100.0   -3000.0   90.0 1000.0
1      0.0   18000.0  -20000.0 5
       0.0   18000.0  -20000.0    0.0    0.0
   90000.0   18000.0  -20000.0  180.0    0.0
   90000.0   48000.0  -20000.0  240.0    0.0
       0.0   48000.0  -20000.0  420.0    0.0
       0.0   18000.0  -20000.0  600.0  600.0
